Death toll (estimate),Location,Date,Event,Disease,Ref.
"1,000,000",Worldwide,1889–1890,1889–1890 flu pandemic,Influenza,[92]
,West Africa,1900,,Yellow fever,
,Congo Basin,1896–1906,,Trypanosomiasis,[93]
"> 800,000","Europe, Asia, Africa",1899–1923,Sixth cholera pandemic,Cholera,[67]
113,San Francisco,1900–1904,,Bubonic plague,[94]
,Uganda,1900–1920,,Trypanosomiasis,[95]
,Egypt,1902,,Cholera,[73][74]
22,India,1903,,Bubonic Plague,[96]
4,Fremantle,1903,,Bubonic plague,[97]
"40,000",China,1910–1912,1910 China plague,Bubonic plague,[98]
1.5 million,Worldwide,1915–1926,1915 Encephalitis lethargica pandemic,Encephalitis lethargica,[99]
"> 7,000",United States of America,1916,,Poliomyelitis,[100]
17-100 million,Worldwide,1918–1920,Spanish flu (pandemic),Influenza A virus subtype H1N1  Spanish Flu Virus,[101][102][103]
,Russia,1918–1922,,Typhus,
30,Los Angeles,1924,1924 Los Angeles pneumonic plague outbreak,Pneumonic plague,
43,"Croydon, United Kingdom",1937,Croydon epidemic of typhoid fever,Typhoid fever,[104]
,Egypt,1942–1944,,Malaria,[73][74]
,China,1946,,Bubonic plague,
,Egypt,1946,,Relapsing fever,[73][74]
"1,845",United States of America,1946,,Poliomyelitis,[100]
,Egypt,1947,,Cholera,[73][74]
"2,720",United States of America,1949,,Poliomyelitis,[100]
"3,145",United States of America,1952,,Poliomyelitis,[100]
1-4 million,Worldwide,1957–1958,Asian flu,Influenza A virus subtype H2N2,[105][106]
,Worldwide,1961–1975,Seventh cholera pandemic,Cholera (El Tor strain),[67]
500 million,Worldwide,1877–1977,,Smallpox,[107][108][109][110]
1-4 million,Worldwide,1968–1969,Hong Kong flu,Influenza A virus subtype H3N2,[105][106]
5,Netherlands,1971,,Poliomyelitis,[111]
35,Yugoslavia,1972,1972 outbreak of smallpox in Yugoslavia,Smallpox,
"1,027",United States,1972–1973,London flu,Influenza A virus subtype H3N2,[112]
24,Italy,1973,,El Tor
"15,000",India,1974,1974 smallpox epidemic of India,Smallpox,[113]
> 32 million,Worldwide,1981–present (as of 2020[update]),HIV/AIDS pandemic,HIV/AIDS,[114]
64,Western Sahara,1984,,Plague,
52,India,1994,1994 plague epidemic in Surat,Plague,[115]
231,Worldwide,1996–2001,United Kingdom BSE outbreak,vCJD,
,West Africa,1996,,Meningitis,
105,Malaysia,1998–1999,1998–99 Malaysia Nipah virus outbreak,Nipah virus infection,[116]
,Central America,2000,,Dengue fever,[117]
> 400,Nigeria,2001,,Cholera,[118]
,South Africa,2001,,Cholera,[119]
774,Worldwide,2002–04,2002–04 SARS outbreak,Severe acute respiratory syndrome (SARS),[120]
,Algeria,2003,,Plague,[121]
,Afghanistan,2004,,Leishmaniasis,[122]
,Bangladesh,2004,,Cholera,[123]
,Indonesia,2004,,Dengue fever,[124]
,Senegal,2004,,Cholera,[125]
7,Sudan,2004,,Ebola,[126]
,Mali,2005,,Yellow fever,[127]
27,Singapore,2005,2005 dengue outbreak in Singapore,Dengue fever,[128]
,"Luanda, Angola",2006,,Cholera,[129]
61,"Ituri Province, Democratic Republic of the Congo",2006,,Plague,[130][131]
17,India,2006,,Malaria,[132]
> 50,India,2006,2006 dengue outbreak in India,Dengue fever,[133]
,India,2006,Chikungunya outbreaks,Chikungunya virus,[134]
> 50,Pakistan,2006,2006 dengue outbreak in Pakistan,Dengue fever,[135]
,Philippines,2006,,Dengue fever,[136]
187,Democratic Republic of the Congo,2007,Mweka ebola epidemic,Ebola,[137]
,Ethiopia,2007,,Cholera,[138]
49,India,2008,,Cholera,[139]
10,Iraq,2007,2007 Iraq cholera outbreak,Cholera,[140]
,Nigeria,2007,,Poliomyelitis,[141]
,Puerto Rico; Dominican Republic; Mexico,2007,,Dengue fever,[142]
,Somalia,2007,,Cholera,[143]
37,Uganda,2007,,Ebola,[126]
,Vietnam,2007,,Cholera,[144]
,Brazil,2008,,Dengue fever,[145]
,Cambodia,2008,,Dengue fever,[146]
,Chad,2008,,Cholera,[147]
,China,2008–17,,"Hand, foot, and mouth disease",[148]
,Madagascar,2008,,Bubonic plague,[149]
,Philippines,2008,,Dengue fever,[150]
,Vietnam,2008,,Cholera,[151]
"4,293",Zimbabwe,2008–09,2008–09 Zimbabwean cholera outbreak,Cholera,[152]
18,Bolivia,2009,2009 Bolivian dengue fever epidemic,Dengue fever,[153]
49,India,2009,2009 Gujarat hepatitis outbreak,Hepatitis B,[154]
,"Queensland, Australia",2009,,Dengue fever,[155]
,Worldwide,2009,Mumps outbreaks in the 2000s,Mumps,
"1,100",West Africa,2009–10,2009–10 West African meningitis outbreak,Meningitis,[156]
"151,700-575,400",Worldwide,2009–10,"2009 flu pandemic (informally called ""swine flu"")",Pandemic H1N1/09 virus,[157]
"10,075 (May 2017)",Hispaniola,2010–present,Haiti cholera outbreak,"Cholera (strain serogroup O1, serotype Ogawa)",[158][159]
"> 4,500",Democratic Republic of the Congo,2010–14,,Measles,[160][161]
170,Vietnam,2011–present,,"Hand, foot and mouth disease",[162][163]
> 350,Pakistan,2011,2011 dengue outbreak in Pakistan,Dengue fever,[164]
171 (as of 10 January 2013[update]),Darfur Sudan,2012,"2012 yellow fever outbreak in Darfur, Sudan",Yellow fever,[165]
862 (as of 13 January 2020[update]),Worldwide,2012–present,2012 Middle East respiratory syndrome coronavirus outbreak,Middle East respiratory syndrome (MERS),[166][167][168]
142,Vietnam,2013–14,,Measles,[169]
"> 11,300","Worldwide, primarily concentrated in Guinea, Liberia, Sierra Leone",2013–16,Ebola virus epidemic in West Africa,Ebola virus disease  Ebola virus virion,[170][171][172]
183,Americas,2013–15,2013–14 chikungunya outbreak,Chikungunya,[173]
40,Madagascar,2014–17,2014 Madagascar plague outbreak,Bubonic plague,[174]
36,India,2014–15,2014 Odisha jaundice outbreak,"Primarily Hepatitis E, but also Hepatitis A",[175]
"2,035",India,2015,2015 Indian swine flu outbreak,Influenza A virus subtype H1N1,[176][177][178]
~53,Worldwide,2015–16,2015–16 Zika virus epidemic,Zika virus,[179]
100s (as of 1 April 2016[update]),"Angola, DR Congo, China, Kenya",2016,2016 yellow fever outbreak in Angola,Yellow fever,[180]
"3,886 (as of 30 November 2019[update])",Yemen,2016–present,2016–20 Yemen cholera outbreak,Cholera,[181]
64 (as of 16 August 2017[update]),India,2017,2017 Gorakhpur Japanese encephalitis outbreak,Japanese encephalitis,[182]
"60,000–80,000+",United States,2017–18,2017–18 United States flu season,Seasonal influenza,[183][184][185][186]
18 (as of February 2020[update]),India,2018,2018 Nipah virus outbreak in Kerala,Nipah virus infection,[187]
"2,268 (as of 16 March 2020[update])",Democratic Republic of the Congo & Uganda,August 2018–present,2018–20 Kivu Ebola epidemic,Ebola virus disease,[188][189]
"> 6,000 (as of January 2020[update])",Democratic Republic of the Congo,2019–present,2019 measles outbreak in the Democratic Republic of the Congo,Measles,[190]
83,Samoa,2019–present,2019 Samoa measles outbreak,Measles,[191]
"> 2,000","Asia-Pacific, Latin America",2019–present,2019–20 dengue fever epidemic,Dengue fever,[192][193][194]
"159,033 (As of April 18, 2020)",Worldwide,2019–present,2019–20 coronavirus pandemic,COVID-19 / SARS-CoV-2,[195][196] [197]
